Bank,Account,EffectiveDate,Source,ServiceSubtype,ServiceCode,Volume,Addendum,TotalFee,TotalCost,Disposition,Description
123,0000001234567896,05012019,789,,10,23,,,,,
123,0000001234567896,05012019,789,,12,14,,,,,
123,0000001234567896,05012019,789,,13,8,,,,,
123,0000001234567896,05012019,789,,15,4,,,,,
123,0000001234567896,05012019,789,,2,12,,,,,
123,0000001234567896,05012019,789,,22,4,,,,,
123,0000001234567896,05012019,789,,23,1,,,,,
123,0000001234567896,05012019,789,,24,6,,,,,
123,0000001234567896,05012019,789,,25,25,,,,,
123,0000001234567896,05012019,789,,26,4,,,,,
123,0000001234567896,05012019,789,,27,4,,,,,
123,0000001234567896,05012019,789,,28,4,,,,,
123,0000001234567896,05012019,789,,29,1,,,,,
123,0000001234567896,05012019,789,,3,9,,,,,
123,0000001234567896,05012019,789,,30,2,,,,,
123,0000001234567896,05012019,789,,31,1,,,,,
123,0000001234567896,05012019,789,,4,9,,,,,
123,0000001234567896,05012019,789,,6,2,,,,,
123,0000001234567896,05012019,789,,7,2,,,,,
123,0000001234567896,05012019,789,,9,31,,,,,
123,100023456,05012019,789,,24,2,,,,,
123,100023456,05012019,789,,26,3,,,,,
123,10008,05012019,789,,23,1,,,,,
123,10008,05012019,789,,24,6,,,,,
123,10008,05012019,789,,25,7,,,,,
123,10008,05012019,789,,26,1,,,,,
123,101010,05012019,789,,23,1,,,,,
123,101010,05012019,789,,24,10,,,,,
123,101010,05012019,789,,25,9,,,,,
123,101010,05012019,789,,26,2,,,,,
123,12222,05012019,789,,23,1,,,,,
123,123,05012019,789,,23,2,,,,,
123,123,05012019,789,,24,31,,,,,
123,123,05012019,789,,25,1,,,,,
123,123,05012019,789,,26,31,,,,,
123,123154654,05012019,789,,23,1,,,,,
123,123456,05012019,789,,23,1,,,,,
123,123456,05012019,789,,24,2,,,,,
123,123456,05012019,789,,26,2,,,,,
123,12345678,05012019,789,,23,1,,,,,
123,12345678,05012019,789,,24,9,,,,,
123,12345678,05012019,789,,25,11,,,,,
123,12345678,05012019,789,,26,3,,,,,
123,123456789,05012019,789,,23,1,,,,,
123,12466456,05012019,789,,23,1,,,,,
123,15,05012019,789,,23,1,,,,,
123,3333,05012019,789,,23,1,,,,,
123,555447898,05012019,789,,23,1,,,,,
123,555447898,05012019,789,,24,7,,,,,
123,555447898,05012019,789,,25,7,,,,,
123,555447898,05012019,789,,26,2,,,,,
123,555447898,05012019,789,,27,1,,,,,
123,987654,05012019,789,,24,4,,,,,
123,987654,05012019,789,,25,1,,,,,
123,987654,05012019,789,,26,2,,,,,
123,Bill,05012019,789,,23,1,,,,,
